DLMF;Mathematica;DLMF-Mathematica-Comment;Mathematica-Alternatives
\Bulirschincellintel{2}@{x}{k_c}{a}{b};;;
\Bulirschincellintel{3}@{x}{k_c}{p};;;
\Carlsonmultivarhyper{-a}@{\Vector{b}}{\Vector{z}};;;
\CarlsonsymellintRF@@{x}{y}{z};;;EllipticF[ArcCos[Sqrt[$0/$2]],($2-$1)/($2-$0)]/Sqrt[$2-$0]
\CarlsonsymellintRJ@@{x}{y}{z}{p};;;3*($2-$0)/($2-$3)*(EllipticPi[($2-$3)/($2-$0),ArcCos[Sqrt[$0/$2]],($2-$1)/($2-$0)]-EllipticF[ArcCos[Sqrt[$0/$2]],($2-$1)/($2-$0)])/Sqrt[$2-$0]
\CarlsonsymellintRG@@{x}{y}{z};;;Sqrt[$2-$0]*(EllipticE[ArcCos[Sqrt[$0/$2]],($2-$1)/($2-$0)]+(Cot[ArcCos[Sqrt[$0/$2]]])^2*EllipticF[ArcCos[Sqrt[$0/$2]],($2-$1)/($2-$0)]+Cot[ArcCos[Sqrt[$0/$2]]]*Sqrt[1-k^2*Sin[ArcCos[Sqrt[$0/$2]]]^2])
\CarlsonsymellintRD@@{x}{y}{z};;;3*(EllipticF[ArcCos[Sqrt[$0/$2]],($2-$1)/($2-$0)]-EllipticE[ArcCos[Sqrt[$0/$2]],($2-$1)/($2-$0)])/(($2-$1)*($2-$0)^(1/2))
\CarlsonellintRC@@{x}{y};;;1/Sqrt[$1]*Hypergeometric2F1[1/2,1/2,3/2,1-($0)/($1)]
;;;
\EulersumH@{s};;;
\genEulersumH@{s}{z};;;
\EulerPhi@{x};QPochhammer[$0,$0];;
\EulerGamma@{z};Gamma[$0];;
\Eulertotientphi@{n};EulerPhi[$0];;
X1:\EulertotientphiX\Eulertotientphi[k]@{n};;;Sum[If[CoprimeQ[$1, m], m^($0), 0], {m, 1, $1}]
\Euleriannumber{n}{k};;;Sum[(-1)^m Binomial[$0+1,m] ($1-m+1)^($0),{m,0,$1+1}]
;;;
\erf@@{z};Erf[$0];;
\erfc@@{z};Erfc[$0];;
\erfw@{z};Exp[-$0^2]*Erfc[-I*$0];;
\inverf@@{x};InverseErf[$0];;
\inverfc@@{x};InverseErfc[$0];;
\repinterfc{n}@{z};;;I^($0)*Erfc[$1]
\FishersHh{n}@{z};;;
\Faddeevaw@{z};;;
\FibonacciNumber{n};Fibonacci[$0];;
;;;
\FresnelintF@{z};;;(1+I)/2-FresnelC[$0]-I*FresnelS[$0]
\Fresnelcosint@{z};FresnelC[$0];;
\Fresnelsinint@{z};FresnelS[$0];;
\auxFresnelf@{z};FresnelF[$0];;
\auxFresnelg@{z};FresnelG[$0];;
;;;
\EulerGamma@{z};Gamma[$0];;
\incgamma@{a}{z};Gamma[$0, 0, $1];Mathematica's generalized incomplete gamma function defines variable intervals. The 2nd and 3rd argument defines the interval. Based on the DLMF definition, the interval is [0,z].;
\incGamma@{a}{z};Gamma[$0, $1];;
\ln@@{\EulerGamma@{z}};LogGamma[$0];It's not the same like Log[Gamma[z]];
\digamma@{z};PolyGamma[$0];;
\polygamma{n}@{z};PolyGamma[$0, $1];;
\BarnesG@{z};BarnesG[$0];;
\normincGammaP@{a}{z};GammaRegularized[$0, 0, $1];;
\normincGammaQ@{a}{z};GammaRegularized[$0, $1];;
\scincgamma@{a}{z};;;
\multivarEulerGamma{m}@{a};;;
;;;
\AGM@{a}{g};;;
\Gausssum@{n}{\Dirichletchar};;;
;;;
\GoodwinStatonint@{z};;;
;;;
\HarmonicNumber{n};HarmonicNumber[$0];;
\digamma@{z+1}+\EulerConstant;;;
;;;
\sphharmonicY{l}{m}@{\theta}{\phi};SphericalHarmonicY[$0, $1, $2, $3];;
\surfharmonicY{l}{m}@{\theta}{\phi};;;
;;;
\HeavisideH@{x};HeavisideTheta[$0];;
;;;
\HeunHl@@{a}{q}{\alpha}{\beta}{\gamma}{\delta}{z};;;
;;;
;;;
;;;
;;;
\HeunHf{m}{a}{b}@@{a}{q}{\alpha}{\beta}{\gamma}{\delta}{z};;;
;;;
\hyperF@@@{a}{b}{c}{z};Hypergeometric2F1[$0, $1, $2, $3];;
\genhyperOlverF{2}{1}@{a,b}{c}{z};HypergeometricPFQRegularized[{$2}, {$3}, $4];;
\genhyperF{p}{q}@@@{a_1,...,a_p}{b_1,...,b_q}{z};HypergeometricPFQ[{$2}, {$3}, $4];;
\genhyperH{p}{q}@@@{a_1,...,a_p}{b_1,...,b_q}{z};;;
\hyperOlverF@@@{a}{b}{c}{z};Hypergeometric2F1Regularized[$0, $1, $2, $3];;
\KummerconfhyperM@{a}{b}{z};Hypergeometric1F1[$0, $1, $2];;
\KummerconfhyperU@{a}{b}{z};HypergeometricU[$0, $1, $2];;
\OlverconfhyperM@{a}{b}{z};Hypergeometric1F1Regularized[$0, $1, $2];;
\genhyperPsimat@{a}{b}{\Matrix{T}};;;
\LauricellaFD@{a}{b_1,...,b_n}{c}{z_1,...,z_n};;;
\RiemannsymP@{\begin{Bmatrix} \alpha & \beta &\gamma & \\ a_1 & b_1 & c_1 & z \\ a_2 & b_2 & c_2 & \end{Bmatrix}};;;
;;;
\idem@{\chi_1}{\chi_1,...,\chi_n};;;
;;;
\Jacobiphi{\alpha}{\beta}{\lambda}@{t};;;
\genJacobiellk{p}{q};;;
\Jacobiamk@{z}{k};JacobiAmplitude[$0, Power[$1, 2]];;
;;;
\Jacobiellsnk@@{z}{k};JacobiSN[$0, ($1)^2];;
\Jacobiellcnk@@{z}{k};JacobiCN[$0, ($1)^2];;
